City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,great falls,47.5002,-111.3008,17.80000000000001,30,0,1.54,US,2024-4-102
178,tolanaro,-25.0319,46.9987,27.189999999999998,83,40,3.09,MG,2024-4-102
179,zabaykal'sk,49.6333,117.3167,9.25,90,77,4.43,RU,2024-4-102
180,kampong speu,11.5,104.3333,30.430000000000007,62,100,2.24,KH,2024-4-102
181,guerrero negro,27.9769,-114.0611,27.25,39,30,3.68,MX,2024-4-102
182,sandnessjoen,66.0217,12.6316,7.439999999999998,75,0,1.54,NO,2024-4-102
183,klyuchi,52.2667,79.1667,2.569999999999993,84,100,6.51,RU,2024-4-102
184,port elizabeth,-33.918,25.5701,18.75999999999999,81,0,4.63,ZA,2024-4-102
185,prince george,53.9166,-122.753,14.420000000000016,52,100,5.66,CA,2024-4-102
186,saldanha,-33.0117,17.9442,20.00999999999999,53,6,5.48,ZA,2024-4-102
187,agogo,6.8,-1.0819,28.920000000000016,80,100,2.57,GH,2024-4-102
188,namdrik,5.5994,168.1028,30.810000000000002,84,100,8.78,MH,2024-4-102
189,thompson,55.7435,-97.8558,5.240000000000009,75,100,4.63,CA,2024-4-102
190,nagqu,31.5,92.0,1.490000000000009,49,100,3.97,CN,2024-4-102
191,dudinka,69.4058,86.1778,-22.620000000000005,100,80,3.14,RU,2024-4-102
192,halabjah,35.1778,45.9861,16.639999999999986,63,99,1.09,IQ,2024-4-102
193,polyarnyy,69.1989,33.4478,4.6299999999999955,99,100,10.27,RU,2024-4-102
194,pimenta bueno,-11.6725,-61.1936,27.70999999999998,97,100,0.66,BR,2024-4-102
195,horta,38.5333,-28.6333,19.94999999999999,92,40,3.6,PT,2024-4-102
196,spokane,47.6166,-117.3677,17.769999999999982,48,0,1.54,US,2024-4-102
197,yuzhno-kurilsk,44.0306,145.8556,7.800000000000011,76,100,4.58,RU,2024-4-102
198,shahrak,34.1074,64.3052,15.689999999999998,47,100,5.48,AF,2024-4-102
199,olinda,-8.0089,-34.8553,33.0,74,40,4.12,BR,2024-4-102
200,muynoq,43.7683,59.0214,15.600000000000023,82,99,11.47,UZ,2024-4-102
201,cockburn town,21.4612,-71.1419,28.639999999999986,73,0,7.79,TC,2024-4-102
202,dickinson,29.4608,-95.0513,31.569999999999993,37,0,6.71,US,2024-4-102
203,sinnar,13.5691,33.5672,35.74000000000001,8,5,6.95,SD,2024-4-102
204,puerto baquerizo moreno,-0.9,-89.6,31.69999999999999,79,40,4.12,EC,2024-4-102
205,constantia,44.1833,28.65,18.54000000000002,64,2,1.25,RO,2024-4-102
206,kerikeri,-35.2268,173.9474,23.100000000000023,95,100,0.65,NZ,2024-4-102
207,victorica,-36.2151,-65.4359,12.129999999999995,81,100,6.83,AR,2024-4-102
208,tinghir,31.5157,-5.5343,25.410000000000025,9,4,2.9,MA,2024-4-102
209,lebu,-37.6167,-73.65,17.930000000000007,66,1,2.88,CL,2024-4-102
210,ormara,25.2088,64.6357,29.319999999999993,77,0,2.61,PK,2024-4-102
211,feodosiya,45.0333,35.3833,17.110000000000014,73,1,4.13,UA,2024-4-102
212,thomasville,35.8826,-80.082,25.410000000000025,81,99,1.79,US,2024-4-102
213,yarmouth,41.7057,-70.2286,16.45999999999998,94,100,2.57,US,2024-4-102
214,san patricio,28.017,-97.5169,34.20999999999998,21,0,5.25,US,2024-4-102
215,kovalam,8.3667,76.9967,32.19999999999999,79,75,1.54,IN,2024-4-102
216,dhidhdhoo,6.8833,73.1,32.89999999999998,72,3,2.56,MV,2024-4-102
217,luderitz,-26.6481,15.1594,23.600000000000023,56,0,3.91,NA,2024-4-102
218,vanimo,-2.6741,141.3028,28.45999999999998,90,75,1.46,PG,2024-4-102
219,nar'yan-mar,67.6713,53.087,4.8799999999999955,100,100,7.6,RU,2024-4-102
220,tobruk,32.0836,23.9764,20.55000000000001,81,96,4.41,LY,2024-4-102
